Task: move-ego-0-0
  Dimension 0: min=0.5873, max=1.0273, mean=0.9236, std=0.0516
  Dimension 1: min=-0.0888, max=0.0037, mean=-0.0104, std=0.0078
  Dimension 2: min=0.0669, max=0.1147, mean=0.0713, std=0.0059
  Dimension 3: min=-0.0935, max=0.0049, mean=-0.0881, std=0.0133
  Dimension 4: min=-0.3988, max=0.3475, mean=0.0183, std=0.0666
  Dimension 5: min=0.0936, max=0.4218, mean=0.1437, std=0.0342
  Dimension 6: min=-0.4670, max=-0.1222, mean=-0.4458, std=0.0600
  Dimension 7: min=-0.7609, max=0.1438, mean=0.0222, std=0.0650
  Dimension 8: min=0.1352, max=0.7514, mean=0.1502, std=0.0610
  Dimension 9: min=-0.8663, max=-0.0257, mean=-0.8330, std=0.1185
  Dimension 10: min=-0.8515, max=0.2471, mean=0.1303, std=0.0828
  Dimension 11: min=0.1895, max=0.7952, mean=0.2019, std=0.0606
  Dimension 12: min=-0.9427, max=-0.1243, mean=-0.8894, std=0.1115
  Dimension 13: min=-0.1116, max=0.0060, mean=-0.0097, std=0.0159
  Dimension 14: min=-0.0702, max=0.0253, mean=-0.0652, std=0.0101
  Dimension 15: min=-0.0953, max=-0.0085, mean=-0.0895, std=0.0089
  Dimension 16: min=-0.3864, max=0.3177, mean=-0.0414, std=0.0698
  Dimension 17: min=-0.1252, max=0.1105, mean=-0.1189, std=0.0202
  Dimension 18: min=-0.4701, max=-0.2353, mean=-0.4599, std=0.0364
  Dimension 19: min=-0.6932, max=0.0778, mean=-0.0896, std=0.0529
  Dimension 20: min=-0.0760, max=0.2964, mean=-0.0624, std=0.0380
  Dimension 21: min=-0.8657, max=-0.0081, mean=-0.8413, std=0.1035
  Dimension 22: min=-0.7890, max=0.1881, mean=0.0268, std=0.0721
  Dimension 23: min=-0.1121, max=0.3385, mean=-0.0978, std=0.0431
  Dimension 24: min=-0.9389, max=-0.1028, mean=-0.8929, std=0.0971
  Dimension 25: min=-0.0389, max=0.1041, mean=-0.0207, std=0.0166
  Dimension 26: min=-0.0848, max=0.0005, mean=-0.0051, std=0.0095
  Dimension 27: min=0.0414, max=0.1111, mean=0.1082, std=0.0085
  Dimension 28: min=-0.0308, max=0.2385, mean=-0.0050, std=0.0367
  Dimension 29: min=-0.1904, max=0.0195, mean=-0.0034, std=0.0221
  Dimension 30: min=-0.0024, max=0.2446, mean=0.2363, std=0.0390
  Dimension 31: min=-0.0073, max=0.2915, mean=0.0236, std=0.0398
  Dimension 32: min=-0.2314, max=0.0238, mean=-0.0028, std=0.0273
  Dimension 33: min=-0.0448, max=0.2977, mean=0.2842, std=0.0555
  Dimension 34: min=-0.0314, max=0.5074, mean=0.0133, std=0.0769
  Dimension 35: min=-0.4304, max=0.0238, mean=-0.0012, std=0.0515
  Dimension 36: min=-0.1745, max=0.5143, mean=0.4910, std=0.1069
  Dimension 37: min=0.0153, max=0.5710, mean=0.0614, std=0.0768
  Dimension 38: min=-0.4707, max=0.0391, mean=-0.0091, std=0.0546
  Dimension 39: min=-0.2530, max=0.5826, mean=0.5522, std=0.1328
  Dimension 40: min=-0.0308, max=0.4213, mean=0.0089, std=0.0683
  Dimension 41: min=-0.3151, max=0.1038, mean=0.0776, std=0.0464
  Dimension 42: min=-0.1447, max=0.4181, mean=0.3999, std=0.0848
  Dimension 43: min=-0.0557, max=0.4670, mean=-0.0118, std=0.0854
  Dimension 44: min=-0.3326, max=0.1979, mean=0.1679, std=0.0594
  Dimension 45: min=-0.2193, max=0.4085, mean=0.3873, std=0.0900
  Dimension 46: min=-0.0641, max=0.5890, mean=-0.0200, std=0.0928
  Dimension 47: min=-0.2615, max=0.3502, mean=0.2642, std=0.0588
  Dimension 48: min=-0.4774, max=0.1816, mean=0.1476, std=0.0805
  Dimension 49: min=0.0678, max=0.5830, mean=0.0879, std=0.0685
  Dimension 50: min=-0.3468, max=0.5732, mean=0.3542, std=0.0780
  Dimension 51: min=-0.7082, max=0.1340, mean=-0.0541, std=0.0863
  Dimension 52: min=0.0964, max=0.5808, mean=0.1148, std=0.0614
  Dimension 53: min=-0.3476, max=0.6446, mean=0.3500, std=0.0784
  Dimension 54: min=-0.7885, max=0.1329, mean=-0.1342, std=0.0868
  Dimension 55: min=-0.0359, max=0.4066, mean=0.0038, std=0.0595
  Dimension 56: min=-0.3786, max=-0.0569, mean=-0.0816, std=0.0365
  Dimension 57: min=-0.0770, max=0.4232, mean=0.4046, std=0.0804
  Dimension 58: min=-0.0519, max=0.4390, mean=-0.0121, std=0.0655
  Dimension 59: min=-0.4595, max=-0.1516, mean=-0.1814, std=0.0343
  Dimension 60: min=-0.1070, max=0.4242, mean=0.4004, std=0.0848
  Dimension 61: min=-0.1428, max=0.4295, mean=-0.0245, std=0.0509
  Dimension 62: min=-0.6160, max=-0.2687, mean=-0.3094, std=0.0311
  Dimension 63: min=-0.2781, max=0.2119, mean=0.1836, std=0.0703
  Dimension 64: min=-0.2216, max=0.3591, mean=0.0980, std=0.0511
  Dimension 65: min=-0.6364, max=-0.2500, mean=-0.3260, std=0.0350
  Dimension 66: min=-0.4997, max=0.0107, mean=-0.0349, std=0.0713
  Dimension 67: min=-0.2706, max=0.4041, mean=0.1237, std=0.0595
  Dimension 68: min=-0.6946, max=-0.2257, mean=-0.3095, std=0.0410
  Dimension 69: min=-0.5666, max=-0.0612, mean=-0.1130, std=0.0694
  Dimension 70: min=-0.0016, max=0.7340, mean=0.0132, std=0.0802
  Dimension 71: min=0.6465, max=1.0000, mean=0.9953, std=0.0334
  Dimension 72: min=-0.0279, max=0.2889, mean=0.0156, std=0.0377
  Dimension 73: min=0.1371, max=1.0000, mean=0.9815, std=0.1024
  Dimension 74: min=-0.0000, max=0.0000, mean=0.0000, std=0.0000
  Dimension 75: min=-0.9906, max=0.1137, mean=-0.0551, std=0.1518
  Dimension 76: min=-0.3087, max=0.7922, mean=-0.0183, std=0.0820
  Dimension 77: min=0.4065, max=0.9991, mean=0.9866, std=0.0605
  Dimension 78: min=-0.0101, max=0.7766, mean=0.1022, std=0.0740
  Dimension 79: min=0.2394, max=0.9998, mean=0.9678, std=0.1257
  Dimension 80: min=-0.6082, max=0.0451, mean=0.0056, std=0.0762
  Dimension 81: min=-0.8643, max=0.9595, mean=0.0846, std=0.1860
  Dimension 82: min=-0.4021, max=0.8194, mean=-0.1280, std=0.0976
  Dimension 83: min=0.4110, max=0.9910, mean=0.9811, std=0.0558
  Dimension 84: min=0.0050, max=0.7276, mean=0.0466, std=0.0788
  Dimension 85: min=-0.3026, max=0.9979, mean=0.9548, std=0.1253
  Dimension 86: min=0.0283, max=0.6203, mean=0.1418, std=0.0540
  Dimension 87: min=-0.9829, max=0.1799, mean=0.1150, std=0.1908
